Organism/Name,Strain,Genome,TaxID,no rank,superkingdom,phylum,class,order,family,genus,genome_type,evid
Clostridium pasteurianum,M150B,GCF_001856695.1,1501,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Alternative nitrogen-fixing genomes,Yes
Clostridium saccharoperbutylacetonicum N1-4(HMT),N1-4(HMT),GCF_000340885.1,931276,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Alternative nitrogen-fixing genomes,Yes
Methylocystis parvus,BRCS2,GCF_009685195.1,134,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Alternative nitrogen-fixing genomes,Yes
Magnetospirillum aberrantis SpK,SpK,GCF_011022235.1,908842,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Alternative nitrogen-fixing genomes,Yes
Clostridium arbusti SL206,SL206,GCF_000246895.1,545243,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Alternative nitrogen-fixing genomes,Yes
Magnetospirillum molischianum DSM 120,DSM 120,GCF_000294655.1,1150626,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Alternative nitrogen-fixing genomes,Yes
Pararhodospirillum photometricum DSM 122,DSM 122,GCF_000284415.1,1150469,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pararhodospirillum,Alternative nitrogen-fixing genomes,Yes
Fischerella muscicola PCC 7414,PCC 7414,GCF_000317205.1,306281,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Hapalosiphonaceae,Fischerella,Alternative nitrogen-fixing genomes,Yes
Kosakonia radicincitans,DSM 107547,GCF_008330085.1,283686,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Alternative nitrogen-fixing genomes,Yes
Rhodocyclus tenuis,2761,GCF_009469755.1,1066,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclus,Alternative nitrogen-fixing genomes,Yes
Desulfovibrio intestinalis,DSM 11275,GCF_014202345.1,58621,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Alternative nitrogen-fixing genomes,Yes
Desulfobacter curvatus DSM 3379,DSM 3379,GCF_000373985.1,1121396,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter,Alternative nitrogen-fixing genomes,Yes
Propionispira raffinosivorans DSM 20765,DSM 20765,GCF_000381065.1,1123511,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Propionispira,Alternative nitrogen-fixing genomes,Yes
Clostridium intestinale DSM 6191,DSM 6191,GCF_900130055.1,1121320,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Alternative nitrogen-fixing genomes,Yes
Magnetospirillum fulvum,DSM 13234,GCF_900108475.1,1082,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Alternative nitrogen-fixing genomes,Yes
Azotobacter chroococcum,B3,GCF_002220155.1,353,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Alternative nitrogen-fixing genomes,Yes
Paenibacillus durus,DSM 1735,GCF_000756615.1,44251,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Paenibacillus sophorae,DSM 23020,GCF_018966525.1,1333845,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Paenibacillus zanthoxyli JH29,JH29,GCF_000520715.1,1333860,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Paenibacillus forsythiae T98,T98,GCF_000520735.1,1333861,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Rhodomicrobium udaipurense JA643,JA643,GCF_000636015.1,858455,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodomicrobium,Alternative nitrogen-fixing genomes,Yes
Clostridium akagii DSM 12554,DSM 12554,GCF_000686725.1,1121293,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Alternative nitrogen-fixing genomes,Yes
Methanobacterium lacus,AL-21,GCF_000191585.1,877455,cellular organisms,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Alternative nitrogen-fixing genomes,Yes
Paenibacillus borealis,DSM 13188,GCF_000758665.1,160799,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Paenibacillus stellifer,DSM 14472,GCF_000758685.1,169760,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Kosakonia oryzae,Ola 51,GCF_001658025.2,497725,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Alternative nitrogen-fixing genomes,Yes
Methanosarcina vacuolata Z-761,Z-761,GCF_000969905.1,1434123,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Alternative nitrogen-fixing genomes,Yes
Methanosarcina siciliae T4/M,T4/M,GCF_000970085.1,1434120,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Alternative nitrogen-fixing genomes,Yes
Blastochloris viridis,ATCC 19567,GCF_001402875.1,1079,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Blastochloridaceae,Blastochloris,Alternative nitrogen-fixing genomes,Yes
Dendrosporobacter quercicolus,DSM 1736,GCF_900104455.1,146817,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Dendrosporobacter,Alternative nitrogen-fixing genomes,Yes
Propionispora vibrioides,DSM 13305,GCF_900110485.1,112903,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Propionispora,Alternative nitrogen-fixing genomes,Yes
Azotobacter beijerinckii,DSM 378,GCF_900110885.1,170623,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Alternative nitrogen-fixing genomes,Yes
Propionispira arboris,DSM 2179,GCF_900109225.1,84035,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Propionispira,Alternative nitrogen-fixing genomes,Yes
Kosakonia arachidis,KACC 18508,GCF_009363135.1,551989,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Alternative nitrogen-fixing genomes,Yes
Desulfitobacterium chlororespirans DSM 11544,DSM 11544,GCF_900143285.1,1121395,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Alternative nitrogen-fixing genomes,Yes
Anaerocolumna jejuensis DSM 15929,DSM 15929,GCF_900142215.1,1121322,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Alternative nitrogen-fixing genomes,Yes
Nostoc calcicola FACHB-3891,FACHB-3891,GCF_014697355.1,2692903,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,Alternative nitrogen-fixing genomes,Yes
Paenibacillus camerounensis,G4,GCF_000723885.1,1243663,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Ruminiclostridium hungatei,DSM 14427,GCF_002051585.1,48256,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Alternative nitrogen-fixing genomes,Yes
Pantoea cypripedii,WS4375,GCF_017875755.1,55209,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Alternative nitrogen-fixing genomes,Yes
Methylocystis bryophila,S285,GCF_002117405.1,655015,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Alternative nitrogen-fixing genomes,Yes
Rhodoblastus acidophilus,DSM 137,GCF_900187365.1,1074,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Rhodoblastus,Alternative nitrogen-fixing genomes,Yes
Methanosarcina spelaei,MC-15,GCF_002287235.1,1036679,cellular organisms,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Alternative nitrogen-fixing genomes,Yes
Trichormus variabilis 0441,441,GCF_009856605.1,375899,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Trichormus,Alternative nitrogen-fixing genomes,Yes
Calothrix brevissima NIES-22,NIES-22,GCF_002367995.1,1973478,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Alternative nitrogen-fixing genomes,Yes
Tolypothrix tenuis PCC 7101,NIES-37,GCF_002368295.1,231146,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Tolypothrichaceae,Tolypothrix,Alternative nitrogen-fixing genomes,Yes
Rhodobacter maris,JA276,GCF_900217815.1,446682,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,Alternative nitrogen-fixing genomes,Yes
Telmatospirillum siberiense,26-4b1,GCF_002845745.1,382514,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum,Alternative nitrogen-fixing genomes,Yes
Rhodopila globiformis,DSM 161,GCF_002937115.1,1071,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodopila,Alternative nitrogen-fixing genomes,Yes
Rhodoblastus sphagnicola,DSM 16996,GCF_002937075.1,333368,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Rhodoblastus,Alternative nitrogen-fixing genomes,Yes
Clostridium luticellarii,DSM 29923,GCF_002995845.1,1691940,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Alternative nitrogen-fixing genomes,Yes
Pseudodesulfovibrio hydrargyri,BerOc1,GCF_001874525.1,2125990,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,Alternative nitrogen-fixing genomes,Yes
Mangrovibacter plantisponsor,DSM 19579,GCF_003182475.1,451513,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Mangrovibacter,Alternative nitrogen-fixing genomes,Yes
Rhodobacter viridis,JA737,GCF_003217355.1,1054202,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,Alternative nitrogen-fixing genomes,Yes
Rhodovulum viride,JA756,GCF_003265965.1,1231134,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodovulum,Alternative nitrogen-fixing genomes,Yes
Pleomorphomonas carboxyditropha,SVCO-16,GCF_002770725.1,2023338,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Pleomorphomonas,Alternative nitrogen-fixing genomes,Yes
Desulfosporosinus fructosivorans,63.6F,GCF_004766045.1,2018669,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfosporosinus,Alternative nitrogen-fixing genomes,Yes
Methylocystis heyeri,H2,GCF_004802635.2,391905,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Alternative nitrogen-fixing genomes,Yes
Sporomusa termitida,DSM 4440,GCF_007641255.1,2377,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Alternative nitrogen-fixing genomes,Yes
Pararhodospirillum oryzae,NBRC 107573,GCF_007992075.1,478448,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pararhodospirillum,Alternative nitrogen-fixing genomes,Yes
Propionispora hippei DSM 15287,DSM 15287,GCF_900141835.1,1123003,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Propionispora,Alternative nitrogen-fixing genomes,Yes
Blastochloris sulfoviridis,DSM 729,GCF_008630065.1,50712,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Blastochloridaceae,Blastochloris,Alternative nitrogen-fixing genomes,Yes
Azotobacter salinestris,KACC 13899,GCF_009363155.1,69964,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Alternative nitrogen-fixing genomes,Yes
Candidatus Methylobacter oryzae,KRF1,GCF_003994235.2,2497749,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter,Alternative nitrogen-fixing genomes,Yes
Desulfovibrio sulfodismutans DSM 3696,DSM 3696,GCF_013376455.1,1121464,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Alternative nitrogen-fixing genomes,Yes
Blastochloris tepida,GI,GCF_003966715.1,2233851,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Blastochloridaceae,Blastochloris,Alternative nitrogen-fixing genomes,Yes
Rhodomicrobium lacus,JA980,GCF_003992725.1,2498452,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Rhodomicrobium,Alternative nitrogen-fixing genomes,Yes
Rhodopseudomonas rhenobacensis,DSM 12706,GCF_014203125.1,87461,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Alternative nitrogen-fixing genomes,Yes
Nostoc spongiaeforme FACHB-130,FACHB-130,GCF_014698475.1,1357510,cellular organisms,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,Alternative nitrogen-fixing genomes,Yes
Azospirillum baldaniorum,Sp245,GCF_003119195.2,1064539,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Alternative nitrogen-fixing genomes,Yes
Mangrovibacter yixingensis,SaN21-3,GCF_020523985.1,1529639,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Mangrovibacter,Alternative nitrogen-fixing genomes,Yes
Paenibacillus apii,7124,GCF_011043685.1,1850370,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Azospira inquinata,Azo-3,GCF_018905915.1,2785627,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Alternative nitrogen-fixing genomes,Yes
Paenibacillus sinensis,HN-1,GCF_019904155.1,2834413,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Alternative nitrogen-fixing genomes,Yes
Xanthobacter agilis,LMG 16336,GCF_021730435.1,47492,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,Alternative nitrogen-fixing genomes,Yes
Clostridium thailandense,PL3,GCF_019207025.1,2794346,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Alternative nitrogen-fixing genomes,Yes
Rhodocyclus gracilis,DSM 112,GCF_011881425.1,2929842,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclus,Alternative nitrogen-fixing genomes,Yes
Cereibacter sphaeroides KD131,KD131; KCTC 12085,GCF_000021005.1,557760,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cereibacter,Alternative nitrogen-fixing genomes,No
Geminisphaera colitermitum TAV2,TAV2,GCF_000171235.2,278957,cellular organisms,Bacteria,Verrucomicrobiota,Opitutae,Opitutales,Opitutaceae,Geminisphaera,Alternative nitrogen-fixing genomes,No
Chloroherpeton thalassium ATCC 35110,ATCC 35110,GCF_000020525.1,517418,cellular organisms,Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chloroherpetonaceae,Chloroherpeton,Alternative nitrogen-fixing genomes,No
Syntrophobotulus glycolicus DSM 8271,DSM 8271,GCF_000190635.1,645991,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Syntrophobotulus,Alternative nitrogen-fixing genomes,No
Ethanoligenens harbinense YUAN-3,YUAN-3,GCF_003020045.1,663278,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,Alternative nitrogen-fixing genomes,No
Brenneria salicis ATCC 15712 = DSM 30166,DSM 30166,GCF_003315515.1,714314,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Alternative nitrogen-fixing genomes,No
Cupidesulfovibrio termitidis HI1,HI1,GCF_000504305.1,644897,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Cupidesulfovibrio,Alternative nitrogen-fixing genomes,No
Acetobacterium woodii DSM 1030,DSM 1030,GCF_000247605.1,931626,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Alternative nitrogen-fixing genomes,No
Pelosinus fermentans,"R7, DSM 17108",GCF_900100555.1,365349,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,Alternative nitrogen-fixing genomes,No
Sulfurospirillum multivorans DSM 12446,DSM 12446,GCF_000568815.1,1150621,cellular organisms,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Alternative nitrogen-fixing genomes,No
Methanomassiliicoccus luminyensis B10,B10,GCF_000308215.1,1175296,cellular organisms,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,Alternative nitrogen-fixing genomes,No
Sulfurospirillum halorespirans DSM 13726,DSM 13726; PCE-M2,GCF_001723605.1,1193502,cellular organisms,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Alternative nitrogen-fixing genomes,No
Musicola paradisiaca Ech703,Ech703,GCF_000023545.1,579405,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Musicola,Alternative nitrogen-fixing genomes,No
Gorillibacterium massiliense,G5,GCF_000455485.1,1280390,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Gorillibacterium,Alternative nitrogen-fixing genomes,No
Desulfobulbus elongatus DSM 2908,DSM 2908,GCF_000621145.1,1121402,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,Alternative nitrogen-fixing genomes,No
Sulfurospirillum cavolei,UCH003,GCF_001548055.1,366522,cellular organisms,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Alternative nitrogen-fixing genomes,No
Brenneria goodwinii,FRB141,GCF_002291445.1,1109412,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Alternative nitrogen-fixing genomes,No
Fontibacillus panacisegetis,DSM 28129,GCF_900102215.1,670482,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Fontibacillus,Alternative nitrogen-fixing genomes,No
Pelosinus propionicus DSM 13327,DSM 13327,GCF_900114615.1,1123291,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,Alternative nitrogen-fixing genomes,No
Trichlorobacter thiogenes,ATCC BAA-34,GCF_900167465.1,115783,cellular organisms,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Trichlorobacter,Alternative nitrogen-fixing genomes,No
Tolumonas lignilytica,BRL6-1,GCF_000527035.1,1283284,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,Alternative nitrogen-fixing genomes,No
Imhoffiella purpurea,AK35,GCF_000585215.1,1249627,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Imhoffiella,Alternative nitrogen-fixing genomes,No
Gorillibacterium timonense,SN4,GCF_001457415.1,1689269,cellular organisms,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Gorillibacterium,Alternative nitrogen-fixing genomes,No
Brenneria roseae subsp. americana,LMG 27715,GCF_003115815.1,1508507,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Alternative nitrogen-fixing genomes,No
Plasticicumulans acidivorans,DSM 23606,GCF_003182095.1,886464,Gammaproteobacteria incertae sedis,Bacteria,Pseudomonadota,Gammaproteobacteria,,Candidatus Competibacteraceae,Plasticicumulans,Alternative nitrogen-fixing genomes,No
Lucifera butyrica,LUCI,GCF_900476375.1,1351585,cellular organisms,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Lucifera,Alternative nitrogen-fixing genomes,No
Methylomusa anaerophila,MMFC1,GCF_003966895.1,1930071,cellular organisms,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Methylomusa,Alternative nitrogen-fixing genomes,No
Parasulfuritortus cantonensis,LSR1,GCF_004337445.1,2528202,cellular organisms,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Parasulfuritortus,Alternative nitrogen-fixing genomes,No
Thiobaca trueperi,DSM 13587,GCF_004342175.1,127458,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiobaca,Alternative nitrogen-fixing genomes,No
Brenneria rubrifaciens,6D370,GCF_005484945.1,55213,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Alternative nitrogen-fixing genomes,No
Azomonas agilis,DSM 375,GCF_007830255.1,116849,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azomonas,Alternative nitrogen-fixing genomes,No
Acetobacterium paludosum,DSM 8237,GCF_008086595.1,52693,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Alternative nitrogen-fixing genomes,No
Rhodovastum atsumiense,DSM 21279,GCF_008630155.1,504468,cellular organisms,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rhodovastum,Alternative nitrogen-fixing genomes,No
Candidatus Methylospira mobilis,Shm1,GCF_009498235.1,1808979,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Candidatus Methylospira,Alternative nitrogen-fixing genomes,No
Heliomicrobium gestii,DSM 11169,GCF_009877435.1,2699,cellular organisms,Bacteria,Bacillota,Clostridia,Eubacteriales,Heliobacteriaceae,Heliomicrobium,Alternative nitrogen-fixing genomes,No
Acerihabitans arboris,SAP-6,GCF_010131535.1,2691583,cellular organisms,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Acerihabitans,Alternative nitrogen-fixing genomes,No
Brooklawnia cerclae,DSM 19609,GCF_011758645.1,349934,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Brooklawnia,Alternative nitrogen-fixing genomes,No
