test,GCF,main,evid,V1,Organism/Name,Strain,TaxID,no rank,superkingdom,phylum,class,order,family,genus,count,rename_phylum,phylum_size,rename_class,class_size,nifHDK
GCF_003030905.1_ASM303090v1_protein,GCF_003030905.1,,,112,Bifidobacterium adolescentis,44572,1680,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000062885.1_ASM6288v1_protein,GCF_000062885.1,,,114,Saccharopolyspora erythraea NRRL 2338,NRRL 2338,405948,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_009739655.1_ASM973965v1_protein,GCF_009739655.1,,,141,Clavibacter michiganensis subsp. michiganensis,UF1,33013,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Clavibacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_016745295.1_ASM1674529v1_protein,GCF_016745295.1,,,145,Mycobacterium marinum,MMA1,1781,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000172135.1_ASM17213v1_protein,GCF_000172135.1,,,149,Bifidobacterium dentium ATCC 27678,ATCC 27678,473819,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_015767775.1_ASM1576777v1_protein,GCF_015767775.1,,,161,Streptomyces clavuligerus,F1D7,1901,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000224965.2_ASM22496v2_protein,GCF_000224965.2,,,164,Bifidobacterium animalis subsp. lactis BLC1,BLC1,1075106,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000273525.1_PB_Bifi_bifi_NCIMB_41171_V1_protein,GCF_000273525.1,,,175,Bifidobacterium bifidum NCIMB 41171,NCIMB 41171,398513,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_019890915.1_ASM1989091v1_protein,GCF_019890915.1,,,176,Micrococcus luteus,CW.Ay,1270,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_003253775.1_ASM325377v1_protein,GCF_003253775.1,,,183,Mycobacterium leprae,MRHRU-235-G,1769,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_020735465.1_ASM2073546v1_protein,GCF_020735465.1,,,211,Collinsella stercoris DSM 13279,FDAARGOS_1572,445975,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,1,Actinomycetota,3249,other class,69,
GCF_900445025.1_51670_G01_protein,GCF_900445025.1,,,223,Schaalia odontolytica,NCTC9935,1660,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002736145.1_ASM273614v1_protein,GCF_002736145.1,,,236,Collinsella aerofaciens,indica,74426,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,1,Actinomycetota,3249,other class,69,
GCF_002843135.1_ASM284313v1_protein,GCF_002843135.1,,,265,Corynebacterium diphtheriae bv. mitis str. ISS 3319,ISS 3319,1450520,Corynebacterium diphtheriae bv. mitis,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_013349145.1_ASM1334914v1_protein,GCF_013349145.1,,,266,Mycolicibacterium smegmatis,FDAARGOS_679,1772,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_015034585.1_ASM1503458v1_protein,GCF_015034585.1,,,267,Thermobifida fusca,UPMC 901,2021,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Thermobifida,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000009765.2_ASM976v2_protein,GCF_000009765.2,,,279,Streptomyces avermitilis MA-4680 = NBRC 14893,MA-4680,227882,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000011305.1_ASM1130v1_protein,GCF_000011305.1,,,310,Corynebacterium efficiens YS-314,YS-314,196164,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000470775.1_ASM47077v1_protein,GCF_000470775.1,,,335,Leifsonia xyli subsp. cynodontis DSM 46306,DSM 46306,1389489,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_003999335.1_ASM399933v1_protein,GCF_003999335.1,,,340,Brevibacterium linens,ATCC 19391,1703,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000014185.1_ASM1418v1_protein,GCF_000014185.1,,,355,Rubrobacter xylanophilus DSM 9941,DSM 9941,266117,cellular organisms,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,1,Actinomycetota,3249,other class,9,
GCF_000017305.1_ASM1730v1_protein,GCF_000017305.1,,,356,Kineococcus radiotolerans SRS30216 = ATCC BAA-149,SRS30216,266940,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kineosporiales,Kineosporiaceae,Kineococcus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000376705.1_ASM37670v1_protein,GCF_000376705.1,,,361,Cutibacterium acnes HL096PA1,HL096PA1,1134454,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000091305.1_ASM9130v1_protein,GCF_000091305.1,,,386,Streptomyces scabiei 87.22,87.22,680198,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000009805.1_ASM980v1_protein,GCF_000009805.1,,,396,Nocardia farcinica IFM 10152,IFM 10152,247156,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_001281425.1_ASM128142v1_protein,GCF_001281425.1,,,454,Bifidobacterium breve,BR3,1685,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900105375.1_IMG-taxon_2642422554_annotated_assembly_protein,GCF_900105375.1,,,467,Rhodococcus jostii,DSM 44719,132919,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_004028015.1_ASM402801v1_protein,GCF_004028015.1,,,489,Mycobacteroides abscessus,GZ002,36809,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacteroides,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000015305.1_ASM1530v1_protein,GCF_000015305.1,,,495,Mycolicibacterium vanbaalenii PYR-1,PYR-1,350058,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000015025.1_ASM1502v1_protein,GCF_000015025.1,,,508,Acidothermus cellulolyticus 11B,11B; ATCC 43068,351607,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Acidothermales,Acidothermaceae,Acidothermus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900087655.1_PFRJS14_protein,GCF_900087655.1,,,526,Propionibacterium freudenreichii,PFRJS14,1744,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000058485.1_ASM5848v1_protein,GCF_000058485.1,Classical nitrogen-fixing genomes,Yes,547,Frankia alni ACN14a,ACN14A,326424,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Frankia,1,Actinomycetota,3249,Actinomycetes,3141,HDK
GCF_000018885.1_ASM1888v1_protein,GCF_000018885.1,,,582,Renibacterium salmoninarum ATCC 33209,ATCC 33209,288705,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Renibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000022025.1_ASM2202v1_protein,GCF_000022025.1,,,611,Pseudarthrobacter chlorophenolicus A6,A6,452863,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_006494475.1_ASM649447v1_protein,GCF_006494475.1,,,615,Pseudarthrobacter phenanthrenivorans,MHSD1,361575,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000504285.1_ASM50428v1_protein,GCF_000504285.1,,,629,Actinospica robiniae DSM 44927,DSM 44927,479430,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Catenulisporales,Actinospicaceae,Actinospica,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000696675.2_ASM69667v2_protein,GCF_000696675.2,,,632,Rhodococcus erythropolis R138,R138,1289591,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_004563945.1_ASM456394v1_protein,GCF_004563945.1,,,676,Kocuria rhizophila,4R-31,72000,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000277125.1_ASM27712v1_protein,GCF_000277125.1,,,679,Mycobacterium intracellulare ATCC 13950,ATCC 13950,487521,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000184435.1_ASM18443v1_protein,GCF_000184435.1,,,684,Mycolicibacterium gilvum Spyr1,Spyr1,278137,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_001278075.1_ASM127807v1_protein,GCF_001278075.1,,,687,Streptomyces pristinaespiralis,HCCB 10218,38300,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000154965.1_ASM15496v1_protein,GCF_000154965.1,,,688,Streptomyces sviceus ATCC 29083,ATCC 29083,463191,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900187235.1_52184_D01_protein,GCF_900187235.1,,,707,Corynebacterium urealyticum,NCTC12011,43771,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_020542785.1_ASM2054278v1_protein,GCF_020542785.1,,,723,Rhodococcus opacus PD630,PD630,543736,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Rhodococcus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000157895.3_ASM15789v2_protein,GCF_000157895.3,,,741,Mycobacterium kansasii ATCC 12478,ATCC 12478,557599,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000175615.1_ASM17561v1_protein,GCF_000175615.1,,,755,Rothia mucilaginosa ATCC 25296,ATCC 25296,553201,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_008634015.1_ASM863401v1_protein,GCF_008634015.1,,,758,Streptomyces filamentosus,ATCC 23958,67294,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000813365.1_ASM81336v1_protein,GCF_000813365.1,,,759,Streptomyces albus,NBRC 13014,1888,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_001705785.1_ASM170578v1_protein,GCF_001705785.1,,,799,Streptomyces hygroscopicus subsp. hygroscopicus,OsiSh-2,68042,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000158955.1_ASM15895v1_protein,GCF_000158955.1,,,800,Streptomyces viridochromogenes DSM 40736,DSM 40736,591159,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_014649995.1_ASM1464999v1_protein,GCF_014649995.1,,,801,Streptomyces griseoflavus,JCM 4479,35619,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000212695.1_ASM21269v1_protein,GCF_000212695.1,,,810,Cellulomonas fimi ATCC 484,ATCC 484,590998,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000218545.1_ASM21854v1_protein,GCF_000218545.1,,,811,Cellulomonas gilvus ATCC 13127,ATCC 13127,593907,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000143845.1_ASM14384v1_protein,GCF_000143845.1,,,828,Olsenella uli DSM 7084,DSM 7084,633147,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,1,Actinomycetota,3249,other class,69,
GCF_000146895.1_ASM14689v1_protein,GCF_000146895.1,,,847,Mobiluncus mulieris ATCC 35239,ATCC 35239,871571,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Mobiluncus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900445305.1_58174_B01_protein,GCF_900445305.1,,,854,Fannyhessea vaginae,NCTC13935,82135,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Fannyhessea,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002861965.1_ASM286196v1_protein,GCF_002861965.1,,,856,Gardnerella vaginalis,UMB0386,2702,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000164695.2_ASM16469v2_protein,GCF_000164695.2,,,857,Rothia dentocariosa ATCC 17931,ATCC 17931,762948,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_001025155.1_ASM102515v1_protein,GCF_001025155.1,,,860,Bifidobacterium angulatum DSM 20098 = JCM 7096,JCM 7096,518635,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_902501455.1_DSM13632_protein,GCF_902501455.1,,,865,Collinsella intestinalis,Collinsella_intestinalis_DSM_13632,147207,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,1,Actinomycetota,3249,other class,69,
GCF_020541885.1_ASM2054188v1_protein,GCF_020541885.1,,,868,Bifidobacterium pseudocatenulatum,YIT11953,28026,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000175375.1_ASM17537v1_protein,GCF_000175375.1,,,881,Corynebacterium matruchotii ATCC 14266,ATCC 14266,553207,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000174015.1_ASM17401v1_protein,GCF_000174015.1,,,882,Lancefieldella rimae ATCC 49626,ATCC 49626,553184,cellular organisms,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,1,Actinomycetota,3249,other class,69,
GCF_003798325.1_ASM379832v1_protein,GCF_003798325.1,,,884,Propionibacterium acidifaciens,FDAARGOS_576,556499,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_016728725.1_ASM1672872v1_protein,GCF_016728725.1,,,885,Corynebacterium amycolatum,FDAARGOS_1108,43765,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_016728365.1_ASM1672836v1_protein,GCF_016728365.1,,,886,Corynebacterium tuberculostearicum,FDAARGOS_1117,38304,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000196535.1_ASM19653v1_protein,GCF_000196535.1,,,890,Mobiluncus curtisii ATCC 43063,ATCC 43063,548479,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Mobiluncus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000164135.1_ASM16413v1_protein,GCF_000164135.1,,,891,Mycobacterium parascrofulaceum ATCC BAA-614,ATCC BAA-614,525368,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_016728645.1_ASM1672864v1_protein,GCF_016728645.1,,,892,Corynebacterium glucuronolyticum,FDAARGOS_1111,39791,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000159015.1_ASM15901v1_protein,GCF_000159015.1,,,894,Gleimia coleocanis DSM 15436,DSM 15436,525245,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Gleimia,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_002861525.1_ASM286152v1_protein,GCF_002861525.1,,,895,Actinomyces urogenitalis,UMB0319,103621,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000159115.1_ASM15911v1_protein,GCF_000159115.1,,,924,Corynebacterium accolens ATCC 49725,ATCC 49725,525260,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000159635.1_ASM15963v1_protein,GCF_000159635.1,,,925,Corynebacterium lipophiloflavum DSM 44291,DSM 44291,525263,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_016728105.1_ASM1672810v1_protein,GCF_016728105.1,,,926,Corynebacterium striatum,FDAARGOS_1115,43770,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000022905.1_ASM2290v1_protein,GCF_000022905.1,,,927,Corynebacterium aurimucosum ATCC 700975,DSM 44827; ATCC 700975,548476,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_001025195.1_ASM102519v1_protein,GCF_001025195.1,,,928,Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043,JCM 1194,566552,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000741205.1_Bifgalcum_protein,GCF_000741205.1,,,929,Bifidobacterium gallicum DSM 20093 = LMG 11596,LMG 11596,561180,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_003013675.1_ASM301367v1_protein,GCF_003013675.1,,,941,Rhodococcus equi,DSSKP-R-001,43767,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Prescottella,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000160775.2_ASM16077v2_protein,GCF_000160775.2,,,945,Aeromicrobium marinum DSM 15272,DSM 15272,585531,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000178455.1_ASM17845v1_protein,GCF_000178455.1,,,947,Brevibacterium mcbrellneri ATCC 49030,ATCC 49030,585530,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000143825.1_ASM14382v1_protein,GCF_000143825.1,,,948,Corynebacterium genitalium ATCC 33030,ATCC 33030,585529,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000092825.1_ASM9282v1_protein,GCF_000092825.1,,,959,Segniliparus rotundus DSM 44985,DSM 44985,640132,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Segniliparaceae,Segniliparus,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_900475915.1_48128_H02_protein,GCF_900475915.1,,,963,Arcanobacterium haemolyticum,NCTC8452,28264,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000145235.1_ASM14523v1_protein,GCF_000145235.1,,,965,Micromonospora aurantiaca ATCC 27029,ATCC 27029,644283,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000023145.1_ASM2314v1_protein,GCF_000023145.1,,,968,Corynebacterium kroppenstedtii DSM 44385,DSM 44385,645127,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,1,Actinomycetota,3249,Actinomycetes,3141,
GCF_000010605.1_ASM1060v1_protein,GCF_000010605.1,,,978,Streptomyces griseus subsp. griseus NBRC 13350,NBRC 13350,455632,cellular organisms,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,1,Actinomycetota,3249,Actinomycetes,3141,
